level_0,index,Name,Distance [Mpc],RA,Dec,l,b,sigma_e [km/s]
1422,423,GMP 9,97.423,195.073,27.9875,57.0848,87.8575,45.0
1423,424,NGC 898,97.423,195.074,27.9553,56.2837,87.8696,-9.9
1424,425,NGC 895,16.5,195.075,28.2022,62.1402,87.7635,207.2
1425,426,NGC 898,97.423,195.075,27.9567,56.3032,87.8677,-9.9
1426,427,GMP 4,97.423,195.077,28.0972,59.6911,87.8091,64.0
1427,428,,97.423,195.078,27.9203,55.371,87.8793,63.0
1428,429,PGC 44741,97.423,195.078,27.9369,55.7854,87.8728,57.0
1429,430,AGC 221385,97.423,195.08,27.5536,45.6119,87.9826,-9.9
1430,431,GMP 5,97.423,195.084,27.9939,57.1411,87.8462,27.0
1431,432,PGC 126758,97.423,195.09,27.8986,54.7177,87.8767,35.0
1432,433,IC 4026,97.423,195.092,28.0469,58.3502,87.8184,58.3
1433,434,GMP 8,97.423,195.094,27.9653,56.3477,87.8492,30.0
1434,435,PGC 126756,97.423,195.103,27.9267,55.3109,87.856,41.0
1435,436,GMP 6,97.423,195.109,28.0089,57.2791,87.8204,37.0
1436,437,AGC 221390,97.423,195.112,27.5156,44.4022,87.962,-9.9
1437,438,GMP 5,97.423,195.116,27.9878,56.6999,87.8225,45.0
1438,439,IC 4030,97.423,195.117,27.9561,55.9232,87.8342,144.0
1439,440,IC 4033,97.423,195.118,27.9725,56.3095,87.8267,-9.9
1440,441,NGC 896,94.0,195.128,28.3461,64.6913,87.6515,209.1
1441,442,AGC 221398,97.423,195.135,27.7661,50.9809,87.882,-9.9
1442,443,GMP 5,97.423,195.139,27.9803,56.3185,87.807,36.0
1443,444,GMP 1,97.423,195.143,27.9347,55.1701,87.8202,53.0
1444,445,GMP 5,97.423,195.147,27.9428,55.3322,87.8138,30.0
1445,446,AGC 221403,97.423,195.148,28.1461,60.1151,87.7312,-9.9
1446,447,GMP 1,97.423,195.152,27.9311,55.0051,87.8139,17.0
1447,448,GMP 3,97.423,195.155,27.9114,54.4972,87.8185,25.0
1448,449,AGC 221404,97.423,195.161,28.0144,56.9384,87.7755,-9.9
1449,450,NGC 906,97.267,195.166,27.9239,54.7188,87.8055,177.0
1450,451,IC 4041,97.423,195.17,27.9967,56.439,87.7753,124.0
1451,452,GMP 9,97.423,195.172,28.045,57.5652,87.755,42.0
1452,453,IC 4042,19.667,195.178,27.9631,55.5641,87.781,127.0
1453,454,IC 4042,97.423,195.178,27.9714,55.764,87.778,176.0
1454,455,AGC 221415,97.423,195.184,28.3372,63.9054,87.6136,-9.9
1455,456,AGC 221416,97.423,195.186,28.1006,58.7203,87.7209,94.0
1456,457,IC 4045,94.4,195.202,28.0908,58.3452,87.7116,167.3
1457,458,IC 4051,97.423,195.215,28.0428,57.1334,87.7211,258.7
1458,459,AGC 221422,97.423,195.217,28.3658,64.1505,87.5742,204.0
1459,460,NGC 908,97.423,195.227,28.0075,56.2105,87.7249,192.4
1460,461,AGC 221429,97.423,195.247,27.8997,53.5015,87.7467,-9.9
1461,462,AGC 221433,97.423,195.287,28.3597,63.3089,87.5234,-9.9
1462,463,AGC 221434,97.423,195.288,27.8183,51.2464,87.7373,-9.9
1463,464,AGC 221435,97.423,195.295,27.8028,50.8287,87.7366,-9.9
1464,465,NGC 919,97.423,195.323,27.8092,50.7982,87.7104,167.0
1465,466,AGC 221438,97.423,195.345,28.1961,59.382,87.5533,-9.9
1466,467,NGC 923,94.4,195.382,27.8475,51.3264,87.6491,186.0
1467,468,IC 843,97.423,195.39,29.1306,75.4222,87.002,208.9
1468,469,AGC 221599,97.423,195.433,28.9994,73.0155,87.0574,-9.9
1469,470,AGC 221449,97.423,195.446,28.095,56.3991,87.5127,160.4
1470,471,AGC 221450,97.423,195.452,27.6039,45.1995,87.6493,-9.9
1471,472,AGC 221453,97.423,195.459,27.8936,51.8924,87.5706,-9.9
1472,473,NGC 926,10.133,195.474,27.6244,45.5958,87.6261,273.3
1473,474,NGC 927,97.423,195.49,28.0058,54.1606,87.5085,-9.9
1474,475,AGC 221460,12.0,195.517,29.2533,75.7643,86.8373,-9.9
1475,476,AGC 221463,97.423,195.536,28.3872,61.5445,87.3179,-9.9
1476,477,AGC 221470,97.423,195.59,28.2308,58.0771,87.3429,-9.9
1477,478,AGC 221471,97.423,195.59,28.2561,58.5705,87.3322,-9.9
1478,479,AGC 230007,97.423,195.645,27.9492,51.9599,87.3977,-9.9
1479,480,AGC 230012,97.423,195.67,28.3714,60.1371,87.2195,-9.9
1480,481,NGC 929,18.5,195.685,28.0453,53.6941,87.3332,-9.9
1481,482,IC 4111,97.423,195.736,28.0703,53.8765,87.2826,-9.9
1482,483,NGC 931,97.423,195.754,28.0325,53.0147,87.28,213.0
1483,484,AGC 230030,97.423,195.79,28.5836,62.9307,87.0281,-9.9
1484,485,NGC 934,97.423,195.817,28.0303,52.5977,87.2274,-9.9
1485,486,NGC 943,97.423,195.937,28.0842,52.9566,87.1102,-9.9
1486,487,IC 4133,97.423,195.962,27.9883,51.0117,87.1185,-9.9
1487,488,NGC 944,97.423,195.975,28.1986,54.8514,87.0404,203.0
1488,489,AGC 231125,97.423,196.033,27.965,50.2235,87.0647,-9.9
1489,490,AGC 230046,97.423,196.042,28.2481,55.3366,86.9677,-9.9
1490,491,AGC 231126,97.423,196.054,28.1936,54.3027,86.977,-9.9
1491,492,NGC 952,0.65,196.243,29.1222,67.4699,86.4112,228.0
1492,493,AGC 231127,97.423,196.285,27.5128,40.9171,86.9325,-9.9
1493,494,NGC 957,2.2,196.302,27.5697,41.9366,86.911,208.4
1494,495,AGC 230071,97.423,196.523,28.5931,58.116,86.4456,-9.9
1495,496,AGC 231130,97.423,196.655,28.3375,53.6045,86.4297,-9.9
1496,497,NGC 971,97.423,196.729,28.5481,56.3643,86.2959,-9.9
1497,498,NGC 004,1.65,197.756,29.6367,64.2895,85.0156,-9.9
1498,499,PGC 83808,33.859,198.484,-16.2733,310.753,46.2565,49.0
1499,500,PGC 83851,27.282,198.767,-16.3944,311.119,46.1013,57.0
1500,501,PGC 83855,38.155,198.794,-16.2389,311.185,46.2521,87.0
1501,502,PGC 83905,36.31,199.203,-16.3444,311.726,46.0936,56.0
1502,503,NGC 103,23.4,200.125,43.0839,104.525,72.9903,111.2
1503,504,Canes_Venatici_,0.215,202.015,33.5558,74.3057,79.8229,6.6
1504,505,NGC 173,38.0,202.105,46.5917,104.805,69.2134,96.8
1505,506,NGC 198,43.42,202.547,46.6708,104.12,69.0165,169.0
1507,508,NGC 273,15.96,205.535,35.6542,74.3502,76.246,66.7
1508,509,NGC 308,29.12,206.752,60.9731,111.249,54.8769,206.5
1509,510,NGC 322,27.082,207.314,60.1906,110.279,55.4947,224.4
1510,511,NGC 342,40.05,207.857,59.8639,109.607,55.6853,154.5
1511,512,NGC 353,33.767,208.361,40.2831,82.6108,71.6335,281.2
1512,513,NGC 355,37.65,208.44,40.3386,82.6196,71.552,87.7
1513,514,NGC 358,38.0,208.502,40.2772,82.375,71.5563,86.7
1514,515,NGC 379,21.9,208.893,59.7428,108.68,55.5755,90.4
1515,516,UGC 876,33.9,209.242,45.9733,92.664,67.1145,127.4
1516,517,Bootes_III,0.049,209.3,26.8,35.4052,75.3535,2.4
1517,518,Bootes_II,0.052,209.5,12.85,353.694,68.8709,3.4
1518,519,Bootes_I,0.062,210.025,14.5,358.082,69.6241,9.1
1519,520,NGC 422,28.1,210.175,55.1644,103.497,59.2729,157.4
1520,521,NGC 473,33.4,211.18,54.8925,102.26,59.1964,180.7
1521,522,NGC 475,28.6,211.302,55.7419,103.037,58.4451,115.1
1522,523,NGC 481,30.817,211.672,50.7233,96.7761,62.4117,121.6
1523,524,NGC 485,27.94,211.797,55.0017,101.803,58.9095,167.1
1524,525,PGC 50395,37.2,211.914,54.7947,101.47,59.043,81.1
1525,526,NGC 500,31.7,212.563,48.5461,92.6889,63.6945,83.9
1526,527,NGC 493,38.9,212.872,-5.04361,336.952,52.4593,197.7
1528,529,NGC 557,40.7,214.607,36.4936,65.3028,69.3491,202.3
1529,530,NGC 582,29.989,215.18,39.6936,72.7741,67.6291,147.9
1530,531,NGC 574,23.95,215.233,3.23806,348.644,57.9334,80.7
1531,532,NGC 576,23.93,215.265,3.27111,348.73,57.9384,155.2
1532,533,NGC 611,25.2,216.02,33.0475,55.0412,69.1548,137.4
1533,534,NGC 631,29.775,216.639,56.5825,99.5273,56.0103,150.0
1534,535,PGC 51753,38.3,217.31,44.6989,81.2951,63.7162,88.9
1535,536,NGC 638,24.84,217.418,3.23333,351.685,56.502,144.5
1536,537,IC 1024,24.2,217.863,3.00917,352.007,56.0374,78.0
1537,538,NGC 687,35.3,218.718,54.4758,95.3879,56.7679,164.4
1538,539,UGC 519,27.6,221.588,34.3706,56.4183,64.369,100.2
1539,540,NGC 770,22.4,223.312,3.95972,359.747,52.8319,80.4
1540,541,NGC 813,30.15,225.297,1.70194,359.182,49.8486,210.9
1541,542,NGC 831,28.14,226.029,1.22,359.388,48.9824,143.9
1542,543,NGC 838,26.967,226.359,2.09944,0.728681,49.3196,223.9
1543,544,NGC 839,28.967,226.365,1.63472,0.200209,49.0088,125.3
1544,545,NGC 845,26.167,226.503,1.63389,0.339073,48.9043,227.5
1545,546,NGC 846,28.5,226.622,1.595,0.413527,48.7898,169.8
1546,547,NGC 846,27.138,226.622,1.60556,0.425974,48.7965,223.4
1547,548,NGC 866,13.023,226.623,55.7633,92.0342,52.4892,157.0
1548,549,NGC 854,23.467,226.949,2.56861,1.862,49.1787,104.7
1549,550,Ursa_Minor,0.073,227.285,67.2225,104.965,44.8004,9.2
1550,551,NGC 864,24.233,227.39,3.05278,2.86198,49.1514,108.4
1551,552,NGC 869,29.833,227.456,0.47,359.98,47.4197,167.5
1552,553,PGC 54452,29.5,228.894,2.24833,3.36081,47.4793,63.5
1553,554,NGC 010,21.6,238.58,0.543056,9.52505,38.73,159.2
1554,555,NGC 014,35.8,238.989,5.93194,15.7045,41.3463,88.3
1555,556,NGC 017,29.8,239.314,5.99833,16.0027,41.1042,112.5
1556,557,PGC 56772,39.5,240.548,7.08611,18.0646,40.6001,85.5
1557,558,KKR25,1.954,243.45,54.3711,83.879,44.4086,-9.9
1558,559,PGC 58114,23.8,246.518,2.90667,17.3235,33.3566,100.9
1559,560,NGC 149,37.2,246.851,19.5972,36.3832,40.2303,105.0
1560,561,Hercules,0.136,247.758,12.7917,28.728,36.8713,11.7
1561,562,NGC 278,39.15,255.21,23.0111,43.5695,33.9452,197.2
1562,563,Draco,0.083,260.052,57.9153,86.3678,34.7217,9.5
1563,564,NGC 411,48.917,263.887,60.8133,89.7306,32.6288,150.1
1564,565,NGC 547,40.8,271.292,25.2325,51.4412,20.8438,180.7
1565,566,NGC 548,64.56,271.456,18.5381,44.9279,18.168,142.2
1566,567,PGC 61468,36.2,272.36,19.1178,45.8436,17.6119,76.6
1567,568,NGC 703,28.709,281.828,45.5506,74.8937,19.6777,150.7
1568,569,Sagittarius_dSp,0.028,283.831,-30.5453,5.56892,-14.1664,3.9
1569,570,NGC 798,37.5,291.013,53.6247,85.0613,16.9941,130.0
1570,571,NGC 909,34.36,306.912,-47.0269,352.814,-35.5134,143.8
1571,572,Aquarius,2.463,311.716,-12.8481,34.0491,-31.3432,15.8
1572,573,NGC 280,23.06,336.615,16.1483,79.5428,-34.2383,105.7
1573,574,Andromeda_XXVII,0.65,338.172,31.2161,91.0312,-22.9254,-9.9
1574,575,NGC 332,15.89,339.352,23.7983,87.3888,-29.669,125.0
1575,576,Tucana,0.889,340.457,-64.4194,322.908,-47.3694,7.9
1577,578,Pisces_II,0.182,344.629,5.9525,79.2063,-47.1058,7.6
1578,579,NGC 457,12.883,345.25,30.145,96.2178,-26.9358,74.6
1579,580,NGC 454,23.333,345.277,16.3883,88.1197,-38.9126,114.3
1580,581,NGC 465,27.2,345.504,15.9647,88.0691,-39.3874,95.7
1581,582,NGC 507,22.5,348.032,-28.5397,23.4428,-68.0383,222.6
1582,583,AGC 330144,71.05,348.7,7.71833,85.6016,-48.025,87.0
1583,584,UGC 454,54.761,348.781,9.67278,87.243,-46.4175,159.0
1584,585,NGC 557,54.761,348.916,6.70833,85.0374,-48.9874,74.0
1585,586,NGC 562,47.9,348.99,6.6875,85.1132,-49.0451,243.0
1586,587,NGC 569,91.704,349.185,8.90556,87.1479,-47.2798,-9.9
1587,588,NGC 611,42.65,349.902,8.06333,87.3891,-48.3689,201.0
1588,589,UGC 510,54.761,349.914,8.265,87.5614,-48.2026,-9.9
1589,590,NGC 612,43.8,349.934,8.57639,87.8292,-47.947,180.0
1590,591,AGC 330238,54.761,349.979,8.56056,87.8733,-47.9833,109.0
1591,592,NGC 617,44.7,350.037,8.16583,87.6412,-48.351,114.0
1592,593,NGC 619,53.335,350.06,8.20611,87.7018,-48.3284,307.0
1593,594,AGC 331645,87.113,350.094,7.5375,87.2176,-48.9164,-9.9
1594,595,NGC 621,54.761,350.102,8.36639,87.88,-48.2128,67.0
1595,596,NGC 623,50.25,350.125,8.39583,87.9314,-48.1991,181.0
1598,599,AGC 330258,54.761,350.257,7.91472,87.7246,-48.6783,-9.9
1599,600,AGC 330266,54.761,350.305,7.36639,87.3523,-49.1713,169.0
1600,601,NGC 634,52.033,350.424,8.88694,88.687,-47.9281,180.0
1601,602,NGC 648,38.85,350.975,9.6675,89.967,-47.5233,66.0
1603,604,AGC 330476,30.4,352.121,19.8639,97.5986,-38.8928,95.3
1604,605,Pegasus_dIrr,2.242,352.151,14.7431,94.7764,-43.554,9.7
1605,606,AGC 330499,30.141,352.515,26.0111,100.962,-33.3652,177.0
1606,607,NGC 693,35.4,353.294,-1.29194,83.6614,-58.0669,57.9
1607,608,AGC 331209,30.141,353.631,27.1247,102.551,-32.6848,-9.9
1608,609,AGC 330553,30.141,353.661,26.7233,102.414,-33.0705,192.0
1609,610,AGC 331210,30.141,353.666,27.3308,102.671,-32.5025,-9.9
1610,611,AGC 331222,30.141,353.929,26.5547,102.613,-33.3118,-9.9
1611,612,NGC 710,34.0,353.942,-2.88083,82.9463,-59.7426,90.6
1612,613,AGC 331223,30.141,353.943,26.6053,102.648,-33.2687,153.0
1613,614,AGC 331231,30.141,354.108,27.3983,103.136,-32.5739,168.0
1614,615,AGC 331233,30.141,354.127,26.3911,102.745,-33.5264,174.0
1615,616,AGC 330574,30.141,354.162,26.9094,102.991,-33.0498,-9.9
1616,617,AGC 330575,30.141,354.162,27.3064,103.152,-32.6764,-9.9
1617,618,AGC 330590,30.141,354.289,26.9672,103.142,-33.034,-9.9
1618,619,AGC 330594,30.141,354.333,27.1475,103.258,-32.8774,-9.9
1619,620,AGC 330595,30.141,354.334,26.8781,103.151,-33.1313,202.0
1620,621,AGC 330600,30.141,354.358,27.0717,103.253,-32.9563,120.0
1621,622,AGC 330602,30.141,354.365,26.6328,103.084,-33.3717,136.0
1622,623,AGC 330604,30.141,354.381,26.8369,103.182,-33.1843,168.0
1623,624,AGC 330614,30.141,354.437,26.505,103.105,-33.5138,163.0
1624,625,AGC 330615,30.141,354.444,26.9808,103.303,-33.0677,-9.9
1625,626,AGC 330621,30.141,354.48,27.1006,103.387,-32.9657,-9.9
1626,627,AGC 330624,31.0,354.491,27.2644,103.462,-32.8143,172.0
1628,629,AGC 331239,30.141,354.552,26.4944,103.216,-33.5582,180.0
1629,630,AGC 330643,30.141,354.557,27.4144,103.587,-32.6923,201.0
1631,632,AGC 330647,30.141,354.566,26.8175,103.36,-33.258,180.0
1632,633,AGC 330649,31.0,354.577,26.8869,103.399,-33.1958,229.0
1635,636,AGC 330652,30.141,354.587,27.3042,103.574,-32.8053,-9.9
1636,637,AGC 330653,31.0,354.595,27.1578,103.525,-32.9459,188.0
1639,640,AGC 330662,30.141,354.619,26.8186,103.414,-33.2728,-9.9
1648,649,AGC 330679,30.141,354.674,27.2153,103.626,-32.9147,104.0
1651,652,AGC 330686,43.5,354.682,27.2153,103.634,-32.9171,237.0
1652,653,AGC 330687,30.141,354.684,26.8508,103.492,-33.2617,220.0
1653,654,AGC 330688,30.141,354.692,27.1725,103.628,-32.9606,-9.9
1654,655,AGC 330691,30.141,354.705,27.1231,103.621,-33.011,-9.9
1655,656,AGC 330696,31.0,354.711,27.2678,103.683,-32.8761,262.0
1659,660,AGC 330700,30.141,354.734,27.1617,103.665,-32.9831,-9.9
1660,661,AGC 330702,30.141,354.745,27.2553,103.712,-32.8978,-9.9
1661,662,AGC 330703,30.141,354.756,26.9586,103.607,-33.1813,-9.9
1662,663,AGC 330704,30.141,354.756,27.3,103.741,-32.859,-9.9
1663,664,AGC 331246,30.141,354.757,26.5656,103.452,-33.5523,-9.9
1664,665,AGC 330706,30.141,354.761,27.1028,103.669,-33.0466,236.0
1665,666,AGC 330711,30.141,354.779,27.2058,103.727,-32.9546,-9.9
1666,667,AGC 331466,30.141,354.786,27.4061,103.812,-32.7674,-9.9
1667,668,AGC 331248,30.141,354.806,27.5486,103.888,-32.6386,203.0
1668,669,AGC 330730,30.141,354.836,26.7528,103.606,-33.399,-9.9
1669,670,AGC 330731,30.141,354.868,27.2972,103.852,-32.8943,-9.9
1670,671,AGC 330735,30.141,354.891,27.3311,103.888,-32.8689,-9.9
1671,672,AGC 330741,31.0,354.956,27.3761,103.97,-32.8451,188.0
1672,673,AGC 331481,30.141,354.98,26.6744,103.72,-33.5152,-9.9
1673,674,AGC 330744,30.141,354.994,26.8342,103.798,-33.3685,212.0
1678,679,AGC 330754,31.0,355.079,27.5617,104.165,-32.7051,233.0
1680,681,AGC 331256,59.38,355.118,27.1089,104.029,-33.1446,-9.9
1681,682,AGC 331259,62.507,355.138,26.8558,103.952,-33.3899,-9.9
1682,683,AGC 331260,30.141,355.14,27.2422,104.103,-33.0248,202.0
1684,685,AGC 330761,61.2,355.177,27.1781,104.116,-33.0962,-9.9
1685,686,AGC 331262,30.141,355.18,27.1294,104.1,-33.1431,-9.9
1686,687,AGC 331487,30.141,355.19,27.6706,104.317,-32.6335,-9.9
1687,688,UGC 733,51.333,355.195,26.8353,104.001,-33.4258,233.0
1688,689,AGC 331489,30.141,355.195,27.5389,104.272,-32.7597,-9.9
1689,690,AGC 331265,30.141,355.21,26.8308,104.015,-33.4344,-9.9
1690,691,AGC 331268,30.141,355.22,27.2494,104.186,-33.0408,-9.9
1691,692,AGC 331491,30.141,355.22,27.2119,104.172,-33.0764,-9.9
1692,693,AGC 330763,31.0,355.226,27.5097,104.292,-32.7961,226.0
1693,694,AGC 331493,30.141,355.25,26.6714,103.993,-33.5966,-9.9
1694,695,AGC 331497,30.141,355.337,27.2081,104.288,-33.1135,-9.9
1695,696,AGC 331272,30.141,355.352,27.5319,104.426,-32.8107,-9.9
1696,697,AGC 331500,30.141,355.389,27.5056,104.453,-32.8462,-9.9
1697,698,NGC 735,31.0,355.572,26.2317,104.152,-34.1058,260.0
1698,699,NGC 737,30.141,355.693,27.0531,104.589,-33.3611,253.0
1699,700,AGC 331666,0.07,355.708,27.55,104.79,-32.8934,-9.9
1700,701,AGC 330785,30.141,355.736,27.4708,104.788,-32.9762,234.0
1701,702,AGC 331298,30.141,355.821,27.3589,104.832,-33.1062,158.0
1702,703,NGC 740,30.141,355.885,27.3119,104.879,-33.1683,275.0
1703,704,AGC 331309,30.141,355.941,27.5117,105.01,-32.994,-9.9
1704,705,AGC 330889,30.141,356.447,27.3392,105.458,-33.2953,119.0
1705,706,AGC 331333,30.141,356.753,27.2631,105.741,-33.449,-9.9
1706,707,AGC 331343,34.0,356.91,27.52,105.991,-33.2442,-9.9
1707,708,AGC 330924,96.085,356.942,27.6817,106.08,-33.0981,-9.9
1708,709,UGC 785,10.5,357.003,27.3753,106.035,-33.4068,-9.9
1709,710,AGC 331345,30.141,357.005,27.5494,106.098,-33.2408,-9.9
1710,711,AGC 331416,30.141,357.007,27.6239,106.125,-33.1699,-9.9
1711,712,Andromeda_VI,0.837,357.943,24.5825,106.042,-36.3246,10.0
1712,713,Andromeda_XXI,0.843,358.699,42.4708,111.917,-19.1862,5.4
1713,714,NGC 785,49.35,358.829,5.91583,98.5382,-54.2763,267.9
1714,715,Andromeda_XXIX,0.73,359.732,30.7556,109.802,-30.7738,-9.9
